Pix_x	Pix_y	GLat(deg)	GLong(deg)	T(K)
0	0	0.21471	105.63808	14.85
1	0	0.21471	105.63530	14.78
2	0	0.21471	105.63253	14.79
3	0	0.21471	105.62975	14.67
4	0	0.21471	105.62697	14.55
5	0	0.21471	105.62419	14.53
6	0	0.21471	105.62142	14.71
7	0	0.21471	105.61864	14.97
8	0	0.21471	105.61586	15.20
9	0	0.21471	105.61308	15.27
10	0	0.21471	105.61030	15.32
11	0	0.21471	105.60753	15.33
12	0	0.21471	105.60475	15.13
13	0	0.21471	105.60197	15.22
14	0	0.21471	105.59919	15.21
15	0	0.21471	105.59642	15.26
16	0	0.21471	105.59364	15.27
17	0	0.21471	105.59086	15.44
18	0	0.21471	105.58808	15.47
19	0	0.21471	105.58530	15.42
20	0	0.21471	105.58253	15.32
21	0	0.21471	105.57975	15.25
22	0	0.21471	105.57697	15.18
23	0	0.21471	105.57419	15.17
24	0	0.21471	105.57142	15.09
25	0	0.21471	105.56864	15.36
26	0	0.21471	105.56586	15.31
27	0	0.21471	105.56308	14.97
28	0	0.21471	105.56030	15.06
29	0	0.21471	105.55753	15.14
30	0	0.21471	105.55475	15.04
31	0	0.21471	105.55197	15.17
32	0	0.21471	105.54919	15.18
33	0	0.21471	105.54642	15.39
34	0	0.21471	105.54364	15.48
35	0	0.21471	105.54086	15.70
36	0	0.21471	105.53808	15.90
37	0	0.21471	105.53530	15.81
38	0	0.21471	105.53253	15.91
39	0	0.21471	105.52975	16.17
40	0	0.21471	105.52697	16.33
41	0	0.21471	105.52419	16.33
42	0	0.21471	105.52142	16.53
43	0	0.21471	105.51864	17.10
44	0	0.21471	105.51586	17.42
45	0	0.21471	105.51308	17.41
46	0	0.21471	105.51030	16.38
47	0	0.21471	105.50753	16.13
48	0	0.21471	105.50475	17.90
49	0	0.21471	105.50197	17.29
0	1	0.21748	105.63808	14.83
1	1	0.21748	105.63530	14.84
2	1	0.21748	105.63253	14.88
